iter	Passed	Remaining
0	2	285
1	5	283
2	8	260
3	11	270
4	16	313
5	19	303
6	21	287
7	23	272
8	26	263
9	28	257
10	31	251
11	33	246
12	36	243
13	39	242
14	42	238
15	44	232
16	46	227
17	48	222
18	50	216
19	52	211
20	54	206
21	56	201
22	58	197
23	60	193
24	63	189
25	65	186
26	67	182
27	69	179
28	71	175
29	73	172
30	76	169
31	78	167
32	80	164
33	82	161
34	85	158
35	87	155
36	89	152
37	91	149
38	93	147
39	96	144
40	98	141
41	99	137
42	101	134
43	103	131
44	106	129
45	108	126
46	110	124
47	112	121
48	114	119
49	117	117
50	119	114
51	121	111
52	123	109
53	125	106
54	126	103
55	129	101
56	131	99
57	133	96
58	135	94
59	138	92
60	140	89
61	143	87
62	145	85
63	147	83
64	150	80
65	152	78
66	154	76
67	156	73
68	159	71
69	161	69
70	163	66
71	165	64
72	167	61
73	169	59
74	171	57
75	173	54
76	175	52
77	177	50
78	179	47
79	181	45
80	184	43
81	186	40
82	188	38
83	190	36
84	192	33
85	194	31
86	196	29
87	198	27
88	200	24
89	202	22
90	204	20
91	206	17
92	208	15
93	210	13
94	212	11
95	214	8
96	216	6
97	218	4
98	220	2
99	222	0
